alpha	lambda	AUC
0	0.1	0.716039829899586
0	1	0.7240572671975111
0	3	0.7208607405314722
0	5	0.7192605802666778
0	10	0.7178661065246431
0	0.1	0.6853505003261101
0	1	0.6871965720075476
0	3	0.6845756688744493
0	5	0.683213916878551
0	10	0.6821880085660573
0	0.1	0.7146470555921776
0	1	0.7255047233644795
0	3	0.7245101469064884
0	5	0.723640310170798
0	10	0.7223688845640065
0	0.1	0.7017683833659444
0	1	0.7024326033350423
0	3	0.7003889978829003
0	5	0.6992265165862727
0	10	0.6981601505686872
0	0.1	0.7076568101202247
0	1	0.7134635436830559
0	3	0.7113413692438083
0	5	0.710306055184104
0	10	0.7090178724020187
0	0.1	0.7271557585460025
0	1	0.7252203239825191
0	3	0.719505377328548
0	5	0.7172146571658767
0	10	0.7148238587019075
0	0.1	0.6777275454897406
0	1	0.6818567905884979
0	3	0.6805199554955652
0	5	0.6797889457401652
0	10	0.678968722206527
0	0.1	0.7112970636141368
0	1	0.7108565298748226
0	3	0.7089644104034348
0	5	0.7078853557390142
0	10	0.7066866500646989
0	0.1	0.7135389300450277
0	1	0.7178392155221424
0	3	0.7131597651658628
0	5	0.7111409118177411
0	10	0.7092032956301249
0	0.1	0.7039446493531859
0	1	0.7131552327588913
0	3	0.7093375596851207
0	5	0.7077080032994667
0	10	0.7058834705785926
